id,名称,父id,拼音首字母,拼音首字母集合,拼音,附加说明,行政级别,行政代码,区号,排序
1,北京,0,b,bj,beijing,,市,110000 ,10 ,1
2,天津,0,t,tj,tianjin,,市,120000 ,22 ,2
3,上海,0,s,sh,shanghai,,市,310000 ,21 ,3
4,重庆,0,c,cq,chongqing,,市,500000 ,23 ,4
5,河北,0,h,hb,hebei,,省,130000 ,,5
6,山西,0,s,sx,shanxi,,省,140000 ,,6
7,内蒙古,0,n,nmg,neimenggu,,自治区,150000 ,,7
8,辽宁,0,l,ln,liaoning,,省,210000 ,,8
9,吉林,0,j,jl,jilin,,省,220000 ,,9
10,黑龙江,0,h,hlj,heilongjiang,,省,230000 ,,10
11,江苏,0,j,js,jiangsu,,省,320000 ,,11
12,浙江,0,z,zj,zhejiang,,省,330000 ,,12
13,安徽,0,a,ah,anhui,,省,340000 ,,13
14,福建,0,f,fj,fujian,,省,350000 ,,14
15,江西,0,j,jx,jiangxi,,省,360000 ,,15
16,山东,0,s,sd,shandong,,省,370000 ,,16
17,河南,0,h,hn,henan,,省,410000 ,,17
18,湖北,0,h,hb,hubei,,省,420000 ,,18
19,湖南,0,h,hn,hunan,,省,430000 ,,19
20,广东,0,g,gd,guangdong,,省,440000 ,,20
21,广西,0,g,gx,guangxi,壮族,自治区,450000 ,,21
22,海南,0,h,hn,hainan,,省,460000 ,,22
23,四川,0,s,sc,sichuan,,省,510000 ,,23
24,贵州,0,g,gz,guizhou,,省,520000 ,,24
25,云南,0,y,yn,yunnan,,省,530000 ,,25
26,西藏,0,x,xz,xizang,,自治区,540000 ,,26
27,陕西,0,s,sx,shanxi,,省,610000 ,,27
28,甘肃,0,g,gs,gansu,,省,620000 ,,28
29,青海,0,q,qh,qinghai,,省,630000 ,,29
30,宁夏,0,n,nx,ningxia,回族,自治区,640000 ,,30
31,新疆,0,x,xj,xinjiang,维吾尔,自治区,650000 ,,31
32,台湾,0,t,tw,taiwan,,省,710000 ,,32
33,香港,0,x,xg,xianggang,,特别行政区,810000 ,852 ,33
34,澳门,0,a,am,aomen,,特别行政区,820000 ,853 ,34
35,海外,0,h,hw,haiwai,,,,,35
36,东城,1,d,dc,dongcheng,,区,110101 ,10 ,1
37,西城,1,x,xc,xicheng,,区,110102 ,10 ,2
40,朝阳,1,c,cy,chaoyang,,区,110105 ,10 ,5
41,丰台,1,f,ft,fengtai,,区,110106 ,10 ,6
42,石景山,1,s,sjs,shijingshan,,区,110107 ,10 ,7
43,海淀,1,h,hd,haidian,,区,110108 ,10 ,8
44,门头沟,1,m,mtg,mentougou,,区,110109 ,10 ,9
45,房山,1,f,fs,fangshan,,区,110111 ,10 ,10
46,通州,1,t,tz,tongzhou,,区,110112 ,10 ,11
47,顺义,1,s,sy,shunyi,,区,110113 ,10 ,12
48,昌平,1,c,cp,changping,,区,110114 ,10 ,13
49,大兴,1,d,dx,daxing,,区,110115 ,10 ,14
50,怀柔,1,h,hr,huairou,,区,110116 ,10 ,15
51,平谷,1,p,pg,pinggu,,区,110117 ,10 ,16
52,密云,1,m,my,miyun,,区,110228 ,10 ,17
53,延庆,1,y,yq,yanqing,,区,110229 ,10 ,18
54,和平,2,h,hp,heping,,区,120101 ,22 ,1
55,河东,2,h,hd,hedong,,区,120102 ,22 ,2
56,河西,2,h,hx,hexi,,区,120103 ,22 ,3
57,南开,2,n,nk,nankai,,区,120104 ,22 ,4
58,河北,2,h,hb,hebei,,区,120105 ,22 ,5
59,红桥,2,h,hq,hongqiao,,区,120106 ,22 ,6
60,东丽,2,d,dl,dongli,,区,120110 ,22 ,7
61,西青,2,x,xq,xiqing,,区,120111 ,22 ,8
62,津南,2,j,jn,jinnan,,区,120112 ,22 ,9
63,北辰,2,b,bc,beichen,,区,120113 ,22 ,10
64,武清,2,w,wq,wuqing,,区,120114 ,22 ,11
65,宝坻,2,b,bc,baochi,,区,120115 ,22 ,12
66,滨海新区,2,b,bhxq,binhaixinqu,,,120116 ,22 ,13
67,宁河,2,n,nh,ninghe,,区,120117 ,22 ,14
68,蓟州,2,j,jz,jizhou,,区,120119 ,22 ,16
69,静海,2,j,jh,jinghai,,区,120118 ,22 ,15
